"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5,C6,C9,C13,C14,C16,C17,C19,C20,C23,C25,C28,C30","0.1uF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","15",""
"C3,C7,C12,C15","20pF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","4",""
"C4,C11","0.33uF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","2",""
"C8,C21,C22,C24,C26","10nF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","5",""
"C10,C27","1uF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","2",""
"C18","0.1nF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C29","220nF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"D1,D6,D7","1N5819","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","3",""
"D2,D3,D4,D5","LED","~","LED_THT:LED_D5.0mm","4",""
"F1","Polyfuse","~","Diode_SMD:D_1210_3225Metric_Pad1.42x2.65mm_HandSolder","1",""
"IC1","ADS131M08","https://www.ti.com/lit/ds/symlink/ads131m08-q1.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1673864581738&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D26%2526gotoUrl%253Dhttps%253A%252F%252Fwww.","ADS131M08QPBSRQ1:QFP50P700X700X120-32N","1",""
"J1,J2,J4","Conn_01x04","~","-- mixed values --","3",""
"J3","Conn_02x08_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical","1",""
"J5,J6,J11","Conn_01x05","~","-- mixed values --","3",""
"J7,J8,J9,J10,J12,J13","Conn_01x02","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","6",""
"JP1,JP2","Jumper_2_Open","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"JP6,JP7","Jumper_2_Bridged","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"L1","CBG322513U102T","~","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","1",""
"Q1,Q2","IRFZ44N","https://www.infineon.com/dgdl/Infineon-IRFZ44N-DataSheet-v01_01-EN.pdf?fileId=5546d462533600a40153563b3a9f220d","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
